Designator,Mid X,Mid Y,Rotation,Layer
C1,132.5,-89.25,180.0,top
C13,149.75,-108.75,90.0,top
C19,143.75,-101.0,0.0,top
C2,132.5,-87.5,180.0,top
C20,132.5,-93.75,270.0,top
C3,153.0,-71.75,0.0,top
C4,151.559998,-62.75,270.0,top
C5,148.0,-64.75,180.0,top
C9,131.5,-68.5,180.0,top
J1,160.69,-73.79,270.0,top
J2,145.66,-54.69,180.0,top
R1,141.825,-87.25,0.0,top
R10,149.0,-95.75,270.0,top
R11,146.0,-108.75,0.0,top
R12,140.0,-101.0,180.0,top
R13,163.0,-86.5,90.0,top
R2,139.5,-88.675,90.0,top
R23,136.0,-98.075,270.0,top
R24,136.000001,-93.75,270.0,top
R3,135.75,-68.5,180.0,top
R4,152.75,-88.0,180.0,top
R5,147.66,-61.82,270.0,top
R6,152.75,-85.25,180.0,top
R7,158.25,-86.5,270.0,top
R8,143.91,-61.82,270.0,top
R9,149.0,-92.25,270.0,top
U1,145.91,-62.25,270.0,top
U2,152.25,-67.25,90.0,top
U3,137.0573,-78.25,90.0,top
U4,142.1212,-95.145,270.0,top
U5,158.5,-94.395,270.0,top
U6,146.0,-104.5,270.0,top
